Ref,Val,Package,PosX,PosY,Rot,Side
"D1","FR_LED","LED_PLCC_2835_Handsoldering",4.050000,-4.000000,0.000000,bottom
"D2","FR_LED","LED_PLCC_2835_Handsoldering",-3.950000,-4.000000,0.000000,bottom
"D3","FR_LED","LED_PLCC_2835_Handsoldering",0.000000,5.000000,180.000000,bottom
"D4","UV_LED","LED_Cree-XHP35",0.000000,0.000000,180.000000,bottom
"D5","G_LED","LED_SMD3030",-8.000000,-8.000000,90.000000,bottom
"D6","G_LED","LED_SMD3030",8.000000,-8.000000,90.000000,bottom
"D7","W_LED","LED_SMD3030",15.500000,-7.500000,0.000000,bottom
"D8","W_LED","LED_SMD3030",8.000000,-15.000000,0.000000,bottom
"D9","G_LED","LED_SMD3030",-8.000000,8.000000,90.000000,bottom
"D10","G_LED","LED_SMD3030",8.000000,8.000000,90.000000,bottom
"D11","W_LED","LED_SMD3030",-15.500000,7.500000,180.000000,bottom
"D12","W_LED","LED_SMD3030",-8.000000,15.000000,180.000000,bottom
"D13","W_LED","LED_SMD3030",15.500000,7.500000,180.000000,bottom
"D14","W_LED","LED_SMD3030",8.000000,15.000000,180.000000,bottom
"D15","W_LED","LED_SMD3030",0.000000,14.000000,180.000000,bottom
"D16","W_LED","LED_SMD3030",0.000000,21.000000,180.000000,bottom
"D17","W_LED","LED_SMD3030",14.000000,0.000000,90.000000,bottom
"D18","W_LED","LED_SMD3030",21.000000,0.000000,90.000000,bottom
"D19","W_LED","LED_SMD3030",0.000000,-14.000000,0.000000,bottom
"D20","W_LED","LED_SMD3030",0.000000,-21.000000,0.000000,bottom
"D22","W_LED","LED_SMD3030",-14.000000,0.000000,-90.000000,bottom
"D23","W_LED","LED_SMD3030",-21.000000,0.000000,-90.000000,bottom
"D24","W_LED","LED_SMD3030",-15.500000,-7.500000,0.000000,bottom
"D25","W_LED","LED_SMD3030",-8.000000,-15.000000,0.000000,bottom
